#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-13T01:03:35 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-13T01:03:35	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=9999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/145/101&tab:{J/AJ/145/101/catalog}&key:source=J/AJ/145/101/catalog&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/145/101/catalog
#-order=I
#-out=Name
#-out=Nd
#-out=RAJ2000
#-out=DEJ2000
#-out=a26
#-out=l_FUV
#-out=FUV
#-out=Bmag
#-out=l_Hamag
#-out=Hamag
#-out=Kmag
#-out=l_HImag
#-out=HImag
#-out=W50
#-out=TT
#-out=Mcl
#-out=Tdw
#-out=HRV
#-out=Dist
#-out=A26
#-out=i
#-out=vAmp
#-out=<Bmu>
#-out=M26
#-out=l_MHI
#-out=MHI
#-out=Vlg
#-out=Ti5
#-out=K+04
#-out=SimbadName
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=9999	

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	
#INFO	publisher=CDS	
#INFO	creator=Karachentsev I.D.	
#INFO	related_resource=bibcode:2013AJ....145..101K	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	
#INFO	publication_id=doi:10.26093/cds/vizier.51450101	
#INFO	publication_date=2017-06-12	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	Nd	(I3)	Number of data available for this galaxy (apparent magnitudes + velocities + kinematics + distances, in tables 3--6)	[ucd=meta.number]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	a26	(F6.2)	[0.1/645.65]? Major angular diameter (1)	[ucd=phys.angSize]
#Column	l_FUV	(A1)	[>] Lower limit flag on FUV	[ucd=meta.code.error]
#Column	FUV	(F5.2)	[8.21/24.56]? GALEX/FUV band magnitude (3)	[ucd=phot.mag;em.UV]
#Column	Bmag	(F5.2)	[-4.6/21.4]? Apparent integral B band magnitude (4)	[ucd=phot.mag;em.opt.B]
#Column	l_Hamag	(A1)	[>] Lower limit flag on Hamag	[ucd=meta.code.error]
#Column	Hamag	(F5.2)	[3.79/27.87]? Integral H{alpha} line emission magnitude (5)	[ucd=phot.flux;em.line.Halpha]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	l_HImag	(A1)	[>] Lower limit flag on HImag	[ucd=meta.code.error]
#Column	HImag	(F6.2)	[-3.35/21.5]? HI 21cm line magnitude (8)	[ucd=phot.mag;em.radio.750-1500MHz]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	Mcl	(a5)	Dwarf galaxy morphology (BCD, HIcld, Im, Ir, S0em, Sm, Sph, Tr, dE, dEem, or dS0em) (11)	[ucd=src.morph.type]
#Column	Tdw	(A1)	Dwarf galaxy surface brightness morphology (H=high, N=normal, L=low, X=extremely low) (11)	[ucd=meta.code;src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	A26	(F5.2)	? Major linear diameter (13)	[ucd=phys.size.diameter]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	<Bmu>	(F4.1)	? Average B band surface brightness (17)	[ucd=phot.mag.sb;em.opt.B]
#Column	M26	(F5.2)	? log(mass) within Holmberg radius (19)	[ucd=phys.mass]
#Column	l_MHI	(A1)	[<] Upper limit flag on MHI	[ucd=meta.code.error]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
#Column	K+04	(I3)	Cross-match with the Catalog of neighboring galaxies of Karachentsev et al. (2004, cat. J/AJ/127/2031) within 30"	[ucd=meta.ref.url]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000;_DEJ2000;Name;Nd;RAJ2000;DEJ2000;a26;l_FUV;FUV;Bmag;l_Hamag;Hamag;Kmag;l_HImag;HImag;W50;TT;Mcl;Tdw;HRV;Dist;A26;i;vAmp;<Bmu>;M26;l_MHI;MHI;Vlg;Ti5;K+04;SimbadName
deg;deg; ; ;"h:m:s";"d:m:s";arcmin; ;mag;mag; ;mag;mag; ;mag;km/s; ; ; ;km/s;Mpc;kpc;deg;km/s;mag/arcsec2;[Msun]; ;[Msun];km/s; ; ;
----------;----------;------------------;---;----------;---------;------;-;-----;-----;-;-----;-----;-;------;---;--;-----;-;----;-----;-----;--;---;----;-----;-;-----;----;----;---;-----------------------------
000.093750;+39.495556;UGC12894          ;  7;00 00 22.5;+39 29 44;  1.02; ;17.57;16.80; ;19.91;14.02; ; 15.66; 34;10;Ir   ;L; 335; 8.47; 2.78;33; 21;25.2; 8.17; ; 7.92; 619;-1.2;  0;UGC12894
000.492083;-15.461111;WLM               ;  8;00 01 58.1;-15 27 40; 11.48; ;12.80;11.03; ;15.56; 9.00; ; 11.19; 53; 9;Im   ;N;-122; 0.97; 3.21;90; 22;24.8; 8.27; ; 7.83; -16; 0.2;  1;WLM GALAXY
000.560417;+45.088889;And XVIII         ;  4;00 02 14.5;+45 05 20;  1.40;>;23.00;17.00; ;     ;12.49; ;      ;   ;-3;Sph  ;L;-332; 1.36; 0.63;10;   ;26.2;     ; ;     ; -44; 0.5;  0;And XVIII
001.382500;-28.098056;ESO409-015        ;  7;00 05 31.8;-28 05 53;  1.20; ;16.08;15.15; ;17.21;12.74; ; 15.28; 53; 9;Im   ;N; 726; 7.70; 2.65;78; 23;24.1; 8.20; ; 7.99; 769;-1.2;  0;ESO409-015
001.643333;+15.510833;AGC748778         ;  6;00 06 34.4;+15 30 39;  0.32; ;20.28;18.90; ;     ;16.29; ; 18.21; 16;10;Ir   ;L; 258; 5.40; 0.53;70;  3;24.9; 5.64; ; 6.51; 486;-1.3;  0;AGC748778
001.877917;+35.132222;And XX            ;  4;00 07 30.7;+35 07 56;  0.80; ;21.84;19.00; ;     ;14.67; ;      ;   ;-3;Sph  ;X;-456; 0.80; 0.20;58;   ;27.0;     ; ;     ;-182; 2.4;  0;And XX
001.933333;+40.875556;UGC00064          ;  6;00 07 44.0;+40 52 32;  1.66; ;16.59;15.50; ;     ;12.84; ; 14.30; 60;10;Ir   ;N; 305; 9.60; 4.87;66; 28;25.0; 8.65; ; 8.58; 587;-1.3;  0;UGC00064
002.055417;-34.578333;ESO349-031        ;  8;00 08 13.3;-34 34 42;  1.23; ;17.14;15.71; ;21.43;13.02; ; 15.53; 30;10;Ir   ;L; 221; 3.21; 1.15;39; 14;24.8; 7.41; ; 7.13; 230; 0.1;  1;ESO349-031
002.485000;-24.963333;NGC0024           ;  8;00 09 56.4;-24 57 48;  7.24; ;14.16;12.38; ;16.03; 8.96; ; 13.54;213; 5;     ; ; 550; 9.90;19.98;85; 95;24.5;10.32; ; 8.91; 606;-0.8;  0;NGC0024
003.516250;-23.182222;NGC0045           ;  8;00 14 03.9;-23 10 56;  8.51; ;12.69;11.55; ;14.41; 9.09; ; 11.98;172; 8;     ; ; 465; 9.20;22.88;47;103;24.6;10.45; ; 9.47; 528;-0.8;  0;NGC0045
003.785417;-39.220278;NGC0055           ;  8;00 15 08.5;-39 13 13; 37.15; ;10.29; 8.84; ;11.66; 6.25; ;  8.84;169; 8;     ; ; 129; 2.13;21.71;84; 74;24.6;10.15; ; 9.45; 111; 0.1;  1;NGC0055
003.854583;-21.443889;NGC0059           ;  8;00 15 25.1;-21 26 38;  2.29; ;16.25;12.97; ;17.26;10.10; ; 15.94; 50;-3;dEem ;N; 361; 5.30; 3.52;90; 21;23.3; 8.25; ; 7.40; 431;-0.4;  1;NGC0059
003.880833;-32.180000;ESO410-005        ;  7;00 15 31.4;-32 10 48;  1.62; ;18.41;14.90;>;25.92;12.50; ; 17.48; 23;10;Tr   ;N;  36; 1.92; 0.91;45;  4;24.5; 6.13; ; 5.91;  53; 0.2;  1;ESO410-005
004.883750;+35.043611;And XIX           ;  4;00 19 32.1;+35 02 37;  6.20;>;23.00;16.80; ;     ;12.45; ;      ;   ;-3;Sph  ;X;-111; 0.93; 1.81;41;   ;29.3;     ; ;     ; 157; 1.9;  0;And XIX
005.102083;+59.291667;IC0010            ;  7;00 20 24.5;+59 17 30;  6.76; ;     ;11.78; ;12.38; 6.51; ;  9.94; 62;10;Ir   ;N;-346; 0.66; 2.85;33; 49;22.6; 8.90; ; 8.00; -62; 1.6;  1;IC0010
005.940000;+47.916111;And XXVI          ;  4;00 23 45.6;+47 54 58;  1.60;>;23.00;18.40; ;     ;13.88; ;      ;   ;-3;Sph  ;X;-261; 0.76; 0.40;52;   ;27.9;     ; ;     ;  21; 2.9;  0;And XXVI
005.965417;-24.705000;Sc22              ;  5;00 23 51.7;-24 42 18;  0.93; ;22.75;17.73;>;25.92;13.57;>; 21.50;   ;-3;Sph  ;L;    ; 4.21; 1.15;48;   ;26.2;     ;<; 4.98;    ; 1.1;  1;[CFC97] Sc 22
006.545833;-11.044444;Cetus             ;  6;00 26 11.0;-11 02 40;  4.79;>;23.00;14.40;>;22.12;10.19;>; 19.84;   ;-1;Tr   ;L; -87; 0.78; 1.10;55;   ;26.3;     ;<; 4.18;  26; 0.5;  1;CETUS DWARF GALAXY
006.638750;-41.855556;ESO294-010        ;  8;00 26 33.3;-41 51 20;  1.51; ;18.06;15.53; ;21.05;14.08; ; 18.56; 23;10;Tr   ;N; 107; 1.92; 0.84;58;  3;25.0; 5.93; ; 5.48;  71; 0.5;  1;ESO294-010
007.266667;+43.431667;UGC00288          ;  7;00 29 04.0;+43 25 54;  1.07; ;17.57;15.64; ;19.67;12.99; ; 15.78; 36;10;Ir   ;N; 187; 6.73; 2.21;60; 15;24.2; 7.76; ; 7.68; 463;-1.4;  1;UGC00288
007.537083;+46.851944;And XXV           ;  4;00 30 08.9;+46 51 07;  4.80;>;23.00;15.90; ;     ;11.42; ;      ;   ;-3;Sph  ;X;-108; 0.81; 1.27;52;   ;27.8;     ; ;     ; 170; 2.9;  0;And XXV
007.843750;-22.765833;ESO473-024        ;  7;00 31 22.5;-22 45 57;  1.55; ;16.92;16.38; ;19.06;13.96; ; 15.37; 48;10;Ir   ;N; 530; 9.90; 4.44;63; 22;25.9; 8.40; ; 8.18; 584;-0.8;  0;ESO473-024
008.298333;+48.507778;NGC0147           ;  7;00 33 11.6;+48 30 28; 13.49;>;23.00;10.36; ;24.43; 7.20;>; 20.87;   ;-3;Sph  ;N;-193; 0.76; 3.63;70;   ;24.3;     ;<; 3.74;  85; 2.8;  1;NGC0147
008.890833;+36.497778;And III           ;  6;00 35 33.8;+36 29 52;  3.63;>;23.00;15.20; ;23.76;11.01;>; 16.33;   ;-3;Sph  ;L;-346; 0.75; 0.79;90;   ;26.5;     ;<; 5.55; -82; 3.2;  1;And III
009.145417;+49.646667;And XXX           ;  2;00 36 34.9;+49 38 48;      ; ;     ;     ; ;     ;     ; ;      ;   ;  ;     ; ;-141; 0.68;     ;  ;   ;    ;     ; ;     ; 136; 2.4;  0;And XXX
