,index,TT,Mcl,Tdw,FUV,Bmag,Hamag,Kmag,HImag,W50,HRV,Dist,A26,i,vAmp,<Bmu>,M26,MHI,Vlg,Ti5
0,2,10,Ir   ,L,17.57,16.8,19.91,14.02,15.66,34.0,335.0,8.47,2.78,33.0,21.0,25.2,8.17,7.92,619.0,-1.2
1,3, 9,Im   ,N,12.8,11.03,15.56,9.0,11.19,53.0,-122.0,0.97,3.21,90.0,22.0,24.8,8.27,7.83,-16.0,0.2
2,4,-3,Sph  ,L,23.0,17.0,24.098000000000003,12.49,18.32,131.8,-332.0,1.36,0.63,10.0,66.4,26.2,8.436,6.688,-44.0,0.5
3,5, 9,Im   ,N,16.08,15.15,17.21,12.74,15.28,53.0,726.0,7.7,2.65,78.0,23.0,24.1,8.2,7.99,769.0,-1.2
4,6,10,Ir   ,L,20.28,18.9,24.706,16.29,18.21,16.0,258.0,5.4,0.53,70.0,3.0,24.9,5.64,6.51,486.0,-1.3
5,7,-3,Sph  ,X,21.84,19.0,25.026,14.67,20.131999999999998,131.8,-456.0,0.8,0.2,58.0,66.4,27.0,8.436,5.465999999999999,-182.0,2.4
6,8,10,Ir   ,N,16.59,15.5,24.706,12.84,14.3,60.0,305.0,9.6,4.87,66.0,28.0,25.0,8.65,8.58,587.0,-1.3
7,9,10,Ir   ,L,17.14,15.71,21.43,13.02,15.53,30.0,221.0,3.21,1.15,39.0,14.0,24.8,7.41,7.13,230.0,0.1
8,10, 5,     , ,14.16,12.38,16.03,8.96,13.54,213.0,550.0,9.9,19.98,85.0,95.0,24.5,10.32,8.91,606.0,-0.8
9,11, 8,     , ,12.69,11.55,14.41,9.09,11.98,172.0,465.0,9.2,22.88,47.0,103.0,24.6,10.45,9.47,528.0,-0.8
10,12, 8,     , ,10.29,8.84,11.66,6.25,8.84,169.0,129.0,2.13,21.71,84.0,74.0,24.6,10.15,9.45,111.0,0.1
11,13,-3,dEem ,N,16.25,12.97,17.26,10.1,15.94,50.0,361.0,5.3,3.52,90.0,21.0,23.3,8.25,7.4,431.0,-0.4
12,14,10,Tr   ,N,18.41,14.9,25.92,12.5,17.48,23.0,36.0,1.92,0.91,45.0,4.0,24.5,6.13,5.91,53.0,0.2
13,15,-3,Sph  ,X,23.0,16.8,25.256000000000004,12.45,19.22,55.2,-111.0,0.93,1.81,41.0,37.0,29.3,8.104,5.840000000000001,157.0,1.9
14,16,10,Ir   ,N,22.86,11.78,12.38,6.51,9.94,62.0,-346.0,0.66,2.85,33.0,49.0,22.6,8.9,8.0,-62.0,1.6
15,17,-3,Sph  ,X,23.0,18.4,25.136000000000003,13.88,19.0,158.4,-261.0,0.76,0.4,52.0,78.0,27.9,8.848,5.97,21.0,2.9
